"Reporting month";"Sales Month";"Platform";"Country / Region";"Label Name";"Artist Name";"Release title";"Track title";;;"Release Catalog nb";"Product";"Sales Type";"Quantity";"Client Payment Currency";"Net Revenue"
"2019-04-01";"2019-03-01";"Spotify Stream";"France";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";8;"EUR";0.02086116552
"2019-04-01";"2019-03-01";"Google Sub";"Finland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.008141899311
"2019-04-01";"2019-04-01";"YouTube Official Music Content";"Finland";"Label";"Band";"Song 3";;;;;;"Stream";3;"EUR";0.000973973334
"2019-04-01";"2019-04-01";"Youtube Audio Fingerprint";"Spain";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";6;"EUR";0.00011470077
"2019-04-01";"2019-03-01";"Spotify Stream";"Belgium";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.00617075316
"2019-04-01";"2019-03-01";"Spotify Stream";"Brazil";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00124270029
"2019-04-01";"2019-03-01";"Spotify Stream";"Estonia";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00143544258
"2019-04-01";"2019-03-01";"Spotify Stream";"Netherlands";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";8;"EUR";0.01642134312
"2019-04-01";"2019-03-01";"Spotify Stream";"Germany";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";37;"EUR";0.095942034664
"2019-04-01";"2019-03-01";"Spotify Stream";"Denmark";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";6;"EUR";0.02382879681
"2019-04-01";"2019-03-01";"Spotify Stream";"Israel";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00271039158
"2019-04-01";"2019-04-01";"Facebook / Instagram";"Worldwide";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.010526139063
"2019-04-01";"2019-04-01";"Youtube Audio Fingerprint";"Portugal";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";5;"EUR";6.8820463E-05
"2019-04-01";"2019-03-01";"Spotify Stream";"United states";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";45;"EUR";0.123983510461
"2019-04-01";"2019-03-01";"Spotify Stream";"Spain";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";7;"EUR";0.01982695689
"2019-04-01";"2019-03-01";"Turkcell";"Turkey";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.000907402878
"2019-04-01";"2019-04-01";"YouTube Official Music Content";"United states";"Label";"Band";"Song 3";;;;;;"Stream";1;"EUR";0.002363491305
"2019-04-01";"2019-03-01";"Spotify Stream";"Canada";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";7;"EUR";0.017603310839
"2019-04-01";"2019-03-01";"Amazon Premium";"United states";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.00902021834
"2019-04-01";"2019-04-01";"Apple Music";"Austria";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";3;"EUR";0.0254014839
"2019-04-01";"2019-04-01";"YouTube Red";"United states";"Label";"Band";"Song 3";;;;;;"Stream";1;"EUR";0.00540601117
"2019-04-01";"2019-04-01";"Youtube Audio Fingerprint";"United states";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.000240543902
"2019-05-01";"2019-05-01";"iTunes";"Germany";"Label";"Band";"Song 4";"Song 4 ";;;;;"Download";1;"EUR";0.5324787
"2019-05-01";"2019-05-01";"YouTube Red";"Finland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";3;"EUR";0.030548003535
"2019-05-01";"2019-04-01";"Spotify Stream";"Indonesia";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";4;"EUR";0.00122770089
"2019-05-01";"2019-03-01";"Deezer";"France";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.006266321837
"2019-05-01";"2019-05-01";"YouTube Official Music Content";"Luxembourg";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";2;"EUR";0.001538312768
"2019-05-01";"2019-05-01";"Youtube Audio Fingerprint";"Belgium";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";1;"EUR";5.1430945E-05
"2019-05-01";"2019-04-01";"Spotify Stream";"Finland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1392;"EUR";4.537198327809
"2019-05-01";"2019-05-01";"YouTube Red";"Hungary";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";1;"EUR";1.9781133E-05
"2019-05-01";"2019-05-01";"YouTube Red";"Netherlands";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00689108733
"2019-05-01";"2019-04-01";"Spotify Stream";"Australia";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";15;"EUR";0.0355673265
"2019-05-01";"2019-04-01";"Spotify Stream";"Japan";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00370635174
"2019-05-01";"2019-05-01";"Youtube Audio Fingerprint";"Ukraine";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";8;"EUR";0.000678492858
"2019-05-01";"2019-05-01";"Apple Music";"Canada";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";9;"EUR";0.029982733096
"2019-05-01";"2019-05-01";"YouTube Red";"United states";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";2;"EUR";0.019230558032
"2019-05-01";"2019-05-01";"YouTube Red";"United states";"Label";"Band";"Song 3";;;;;;"Stream";1;"EUR";0.009615608702
"2019-05-01";"2019-04-01";"Spotify Stream";"Sweden";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";44;"EUR";0.120544838014
"2019-05-01";"2019-04-01";"Spotify Stream";"Brazil";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";76;"EUR";0.154104668067
"2019-05-01";"2019-04-01";"Spotify Stream";"Switzerland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";9;"EUR";0.035994045181
"2019-05-01";"2019-04-01";"Spotify Stream";"Ireland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00240965361
"2019-05-01";"2019-05-01";"Facebook / Instagram";"Worldwide";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.028978435216
"2019-05-01";"2019-05-01";"Youtube Audio Fingerprint";"Poland";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";9;"EUR";0.000456944103
"2019-05-01";"2019-05-01";"Youtube Audio Fingerprint";"Italy";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";12;"EUR";7.9783639E-05
"2019-05-01";"2019-05-01";"Youtube Audio Fingerprint";"Brazil";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";4;"EUR";7.9783903E-05
"2019-05-01";"2019-05-01";"Apple Music";"Greece";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00810192591
"2019-05-01";"2019-05-01";"YouTube Red";"United states";"Label";"Band";"Album";;;;;;"Stream";4;"EUR";0.038462434808
"2019-05-01";"2019-05-01";"YouTube Red";"Mexico";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.002846505024
"2019-05-01";"2019-04-01";"Spotify Stream";"Norway";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";25;"EUR";0.102442939619
"2019-05-01";"2019-04-01";"Spotify Stream";"United states";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";174;"EUR";0.468658427913
"2019-05-01";"2019-04-01";"Spotify Stream";"Czech republic";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00247640094
"2019-05-01";"2019-05-01";"YouTube Official Music Content";"Germany";"Label";"Band";"Song 4";;;;;;"Stream";2;"EUR";0.001627987238
"2019-05-01";"2019-05-01";"Youtube Audio Fingerprint";"Portugal";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";5;"EUR";3.2309184E-05
"2019-05-01";"2019-03-01";"Deezer";"Romania";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.001655296286
"2019-05-01";"2019-05-01";"iTunes";"United states";"Label";"Band";"Album";"Song 4 ";;;;;"Download";1;"EUR";0.512265444963
"2019-05-01";"2019-05-01";"YouTube Red";"Denmark";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.008186751535
"2019-05-01";"2019-05-01";"YouTube Red";"Ukraine";"Label";"Band";"Song 3";;;;;;"Stream";1;"EUR";0.000278913973
"2019-05-01";"2019-04-01";"Spotify Stream";"Latvia";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00253189872
"2019-05-01";"2019-04-01";"Spotify Stream";"Germany";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";130;"EUR";0.335247052081
"2019-05-01";"2019-04-01";"Spotify Stream";"France";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";21;"EUR";0.04475746713
"2019-05-01";"2019-04-01";"Spotify Stream";"Hungary";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.0021524139
"2019-05-01";"2019-05-01";"YouTube Official Music Content";"United states";"Label";"Band";"Song 4";;;;;;"Stream";1;"EUR";0.005064629393
"2019-05-01";"2019-05-01";"YouTube Official Music Content";"Sweden";"Label";"Band";"Song 4";;;;;;"Stream";3;"EUR";0.006196110129
"2019-05-01";"2019-05-01";"YouTube Official Music Content";"Spain";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";3;"EUR";0.002794414773
"2019-05-01";"2019-05-01";"Youtube Audio Fingerprint";"Greece";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";12;"EUR";0.000257814099
"2019-05-01";"2019-05-01";"Youtube Audio Fingerprint";"Czech republic";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";8.3740129E-05
